Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
SPE,abalone-17_vs_7-8-9-10,-,keel,0.8468721975145959,0.024999467401817483,0.5592295027142529,0.010538871174234117,0.8373205741626795,0.044052831409690685,0.5646528039726691,0.022113377045472338,0.8357528583949658,0.04319772282438052,0.9131396198830408,0.03720058047592401,0.28200770252944085,0.03963358663139527,0.3307526589401252,0.058649975176753924,0.8400180864614415,0.045788722272366064,0.17889743470193317,0.032621581908417976,9.262508089607582,0.09173216604058182,
DeepSMOTE,abalone-17_vs_7-8-9-10,-,keel,0.9739114917915774,0.0031239876999793435,0.6590176534257911,0.10411096771282652,0.5584130781499203,0.0423817161483985,0.5805199143299468,0.05845538930873366,0.3088054850569314,0.15930092708636956,0.8814742822966506,0.06028012275164007,0.19093598199778036,0.12291780841142115,0.273856124579317,0.054004331020372415,0.7514968408906492,0.005458390789193853,0.16617594250064446,0.11341632016113087,5.746555361419451,1.016090767217306,
DBCF,abalone-17_vs_7-8-9-10,-,keel,0.9627921448049926,0.0077012778398857324,0.6566218344096828,0.042168407239845,0.7048245614035088,0.053256590804160245,0.6743726289874842,0.0402104970795812,0.6460193497617845,0.07557709393965706,0.9113021664008507,0.03831341764031955,0.35574984996348236,0.0822093967034641,0.34382598989021934,0.0544154911613285,0.7813855908302363,0.028140478622945407,0.3494590962941827,0.08026448272905665,36.69186782039469,3.8250498422565364,
DEAHS,abalone-17_vs_7-8-9-10,-,keel,0.8135159867493915,0.026605277997039906,0.5507182469615792,0.005201449164394033,0.8372009569377991,0.033905933244656905,0.5411322825869768,0.015222094237074624,0.83515532762126,0.03209877780998006,0.9069959463051568,0.03665210738307206,0.2611346500981532,0.022442081534126777,0.336247592329678,0.04791053403084354,0.840741258753488,0.037285769170408066,0.15034364533009725,0.017088432538093806,75.23114104798296,0.6735910837446124,
s_smote,abalone-17_vs_7-8-9-10,-,keel,0.8952341733926318,0.031297049557496855,0.5686588945643838,0.011309839244110127,0.7690590111642744,0.07403127345841914,0.5886358043027059,0.01963151665426317,0.7477069843152435,0.09966678563111335,0.9008672248803828,0.021658187901808564,0.26830807212019997,0.047581544922224446,0.2493751101641483,0.06732056624063415,0.7969922007152869,0.04382945009678294,0.20205827075744248,0.031855696021490965,4.939063624001574,0.34900210875680865,
scut,abalone-17_vs_7-8-9-10,-,keel,0.939696919782573,0.014245364453204644,0.6050497350543325,0.022539295992431957,0.7528110047846891,0.09005809018298257,0.6384771270027243,0.03565345367112361,0.7138792249072136,0.12917273829325573,0.8981841440723018,0.04838149950800975,0.32160465170376434,0.08777070652909597,0.2551091933538994,0.08665752362027063,0.8013367292447263,0.05069427745721675,0.28384027872373396,0.07128841277867158,19.833188271615654,1.3078822104198178,
mdo,abalone-17_vs_7-8-9-10,-,keel,0.9687750507878988,0.004414356219964586,0.6601408731873679,0.07050002077815386,0.6052232854864434,0.031418255974070025,0.623369576426102,0.03698694375623811,0.46481187031627547,0.06292240280711657,0.9000697767145136,0.0334925724444864,0.2563821728154064,0.08262047207756835,0.3098960396375907,0.0901029414232783,0.7524963140279654,0.009172176895840198,0.24746269473029786,0.07429383207824673,0.1633879632106982,0.04159393824757902,
smom,abalone-17_vs_7-8-9-10,-,keel,0.9623583886967184,0.006151352629102503,0.6391163975982572,0.039128867397622676,0.6528907496012759,0.0527132012323473,0.6381418724862306,0.03635021090820977,0.5572590474513326,0.09608549914429192,0.9028425704412546,0.04308023565073243,0.28469296506343145,0.07038986369229994,0.2723909105495105,0.05534471754603776,0.7621656929881795,0.017931132021235568,0.2771904317629323,0.07234129876340939,2.099427507992368,0.06284701262695484,
soup,abalone-17_vs_7-8-9-10,-,keel,0.9726276103149765,0.00390822887014342,0.6983110735251982,0.06464209938174208,0.6160685805422647,0.04311581996145815,0.6426024553615838,0.0485658069126298,0.47874837017866356,0.09760161169928093,0.9235280435938332,0.039482398345767326,0.30035235697469204,0.09723745242481117,0.3366689301652297,0.05108393918046898,0.7587419738495507,0.010138968215821725,0.28653189584734523,0.09640814044159794,15.358937581197825,0.6655385909443158,
mc_rbo,abalone-17_vs_7-8-9-10,-,keel,0.9709172935083,0.005153537001342531,0.6391888435999088,0.11496719814693022,0.5642344497607656,0.042567302052959353,0.5827890899452892,0.056738361951931486,0.3295235384967515,0.16364981849950602,0.8727987107921319,0.01922170144521989,0.18519299536177583,0.12713682162556816,0.29159719517174126,0.08968856969063668,0.7492394751468348,0.00678126422806183,0.16879656181004116,0.11146366062568694,66.55853784640786,1.2012574300974064,
