F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,Class
0.0,1,21,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,28.0,1.0,0.0,0.0,1.0,1.0,0.04,0.54,0.0,198.0,1.0,0.01,0.09,0.14,0.0,0.01,0.0,0.39,1.0,0
1.0,1,21,4,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,48.0,2.0,0.0,0.0,1.0,1.0,0.04,0.54,0.0,218.0,2.0,0.01,0.12,0.22,0.0,0.01,0.0,0.44,1.0,0
0.0,1,21,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,68.0,1.0,0.0,0.0,1.0,1.0,0.01,0.54,0.0,238.0,1.0,0.0,0.16,0.29,0.0,0.01,0.0,0.49,1.0,0
1.0,1,21,4,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,88.0,2.0,0.0,0.0,1.0,1.0,0.02,0.53,0.0,255.0,2.0,0.01,0.19,0.35,0.0,0.0,0.0,0.53,1.0,0
1.0,1,21,4,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,98.0,2.0,0.0,0.0,1.0,1.0,0.02,0.55,0.0,255.0,2.0,0.01,0.22,0.38,0.0,0.0,0.0,0.53,1.0,0
0.0,1,21,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,108.0,1.0,0.0,0.0,1.0,1.0,0.01,0.56,0.0,255.0,1.0,0.0,0.24,0.42,0.0,0.0,0.0,0.53,1.0,0
1.0,1,21,4,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,118.0,2.0,0.0,0.0,1.0,1.0,0.02,0.56,0.0,255.0,2.0,0.01,0.26,0.46,0.0,0.0,0.0,0.53,1.0,0
1.0,1,23,4,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,128.0,2.0,0.0,0.0,1.0,1.0,0.02,0.56,0.0,255.0,2.0,0.01,0.28,0.5,0.0,0.0,0.0,0.53,1.0,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,158.0,2.0,0.12,1.0,0.88,0.0,0.01,0.58,0.0,255.0,2.0,0.01,0.36,0.62,0.0,0.07,1.0,0.55,0.0,0
0.0,1,21,1,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,168.0,1.0,0.12,0.0,0.88,1.0,0.01,0.58,0.0,255.0,1.0,0.0,0.38,0.66,0.0,0.08,0.0,0.58,1.0,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,7.0,1.0,0.71,1.0,0.29,0.0,0.14,0.57,0.0,255.0,1.0,0.0,0.02,0.03,0.0,0.02,1.0,0.01,0.0,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,27.0,3.0,0.78,0.67,0.22,0.33,0.11,0.41,0.0,255.0,3.0,0.01,0.05,0.11,0.0,0.08,0.67,0.02,0.33,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,37.0,2.0,0.81,1.0,0.19,0.0,0.05,0.41,0.0,255.0,2.0,0.01,0.06,0.15,0.0,0.12,1.0,0.03,0.0,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,47.0,2.0,0.81,1.0,0.19,0.0,0.04,0.4,0.0,255.0,2.0,0.01,0.08,0.18,0.0,0.15,1.0,0.04,0.0,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,67.0,1.0,0.79,1.0,0.21,0.0,0.01,0.39,0.0,255.0,1.0,0.0,0.1,0.26,0.0,0.21,1.0,0.05,0.0,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,87.0,3.0,0.77,0.67,0.23,0.33,0.03,0.37,0.0,255.0,3.0,0.01,0.13,0.34,0.0,0.26,0.67,0.08,0.33,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,97.0,2.0,0.75,0.5,0.25,0.5,0.02,0.37,0.0,255.0,2.0,0.01,0.14,0.38,0.0,0.29,0.5,0.09,0.5,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,107.0,1.0,0.75,1.0,0.25,0.0,0.01,0.37,0.0,255.0,1.0,0.0,0.16,0.42,0.0,0.31,1.0,0.11,0.0,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,117.0,2.0,0.74,1.0,0.26,0.0,0.02,0.37,0.0,255.0,2.0,0.01,0.17,0.46,0.0,0.34,1.0,0.12,0.0,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,127.0,3.0,0.73,0.67,0.27,0.33,0.02,0.36,0.0,255.0,3.0,0.01,0.18,0.5,0.0,0.36,0.67,0.13,0.33,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,137.0,2.0,0.72,0.5,0.28,0.5,0.01,0.36,0.0,255.0,2.0,0.01,0.2,0.54,0.0,0.39,0.5,0.15,0.5,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,147.0,2.0,0.71,0.5,0.29,0.5,0.01,0.37,0.0,255.0,2.0,0.01,0.22,0.58,0.0,0.41,0.5,0.17,0.5,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,157.0,2.0,0.69,0.5,0.31,0.5,0.01,0.38,0.0,255.0,2.0,0.01,0.24,0.62,0.0,0.43,0.5,0.19,0.5,0
1.0,1,21,3,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,167.0,2.0,0.68,0.5,0.32,0.5,0.01,0.39,0.0,255.0,2.0,0.01,0.25,0.65,0.0,0.45,0.5,0.21,0.5,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,187.0,1.0,0.66,1.0,0.34,0.0,0.01,0.41,0.0,255.0,1.0,0.0,0.3,0.73,0.0,0.49,1.0,0.25,0.0,0
0.0,1,21,5,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,227.0,1.0,0.63,1.0,0.37,0.0,0.0,0.42,0.0,255.0,1.0,0.0,0.38,0.89,0.0,0.56,1.0,0.33,0.0,0
0.0,1,29,4,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255.0,1.0,0.0,0.06,0.04,0.0,0.0,0.0,0.04,1.0,0
