Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
SPE,abalone-17_vs_7-8-9-10,-,keel,0.8468721975145959,0.0249994674018174,0.5592295027142529,0.0105388711742341,0.8373205741626795,0.0440528314096906,0.5646528039726691,0.0221133770454723,0.8357528583949658,0.0431977228243805,0.9131396198830408,0.037200580475924,0.2820077025294408,0.0396335866313952,0.3307526589401252,0.0586499751767539,0.8400180864614415,0.045788722272366,0.1788974347019331,0.0326215819084179,9.262508089607582,0.0917321660405818,
DeepSMOTE,abalone-17_vs_7-8-9-10,-,keel,0.9739114917915774,0.0031239876999793,0.6590176534257911,0.1041109677128265,0.5584130781499203,0.0423817161483985,0.5805199143299468,0.0584553893087336,0.3088054850569314,0.1593009270863695,0.8814742822966506,0.06028012275164,0.1909359819977803,0.1229178084114211,0.273856124579317,0.0540043310203724,0.7514968408906492,0.0054583907891938,0.1661759425006444,0.1134163201611308,5.746555361419451,1.016090767217306,
DBCF,abalone-17_vs_7-8-9-10,-,keel,0.9627921448049926,0.0077012778398857,0.6566218344096828,0.042168407239845,0.7048245614035088,0.0532565908041602,0.6743726289874842,0.0402104970795812,0.6460193497617845,0.075577093939657,0.9113021664008508,0.0383134176403195,0.3557498499634823,0.0822093967034641,0.3438259898902193,0.0544154911613285,0.7813855908302363,0.0281404786229454,0.3494590962941827,0.0802644827290566,36.69186782039469,3.825049842256536,
DEAHS,abalone-17_vs_7-8-9-10,-,keel,0.8135159867493915,0.0266052779970399,0.5507182469615792,0.005201449164394,0.8372009569377991,0.0339059332446569,0.5411322825869768,0.0152220942370746,0.83515532762126,0.03209877780998,0.9069959463051568,0.036652107383072,0.2611346500981532,0.0224420815341267,0.336247592329678,0.0479105340308435,0.840741258753488,0.037285769170408,0.1503436453300972,0.0170884325380938,75.23114104798296,0.6735910837446124,
s_smote,abalone-17_vs_7-8-9-10,-,keel,0.8952341733926318,0.0312970495574968,0.5686588945643838,0.0113098392441101,0.7690590111642744,0.0740312734584191,0.5886358043027059,0.0196315166542631,0.7477069843152435,0.0996667856311133,0.9008672248803828,0.0216581879018085,0.2683080721201999,0.0475815449222244,0.2493751101641483,0.0673205662406341,0.7969922007152869,0.0438294500967829,0.2020582707574424,0.0318556960214909,4.939063624001574,0.3490021087568086,
scut,abalone-17_vs_7-8-9-10,-,keel,0.939696919782573,0.0142453644532046,0.6050497350543325,0.0225392959924319,0.7528110047846891,0.0900580901829825,0.6384771270027243,0.0356534536711236,0.7138792249072136,0.1291727382932557,0.8981841440723018,0.0483814995080097,0.3216046517037643,0.0877707065290959,0.2551091933538994,0.0866575236202706,0.8013367292447263,0.0506942774572167,0.2838402787237339,0.0712884127786715,19.83318827161565,1.3078822104198178,
mdo,abalone-17_vs_7-8-9-10,-,keel,0.9687750507878988,0.0044143562199645,0.6601408731873679,0.0705000207781538,0.6052232854864434,0.03141825597407,0.623369576426102,0.0369869437562381,0.4648118703162754,0.0629224028071165,0.9000697767145136,0.0334925724444864,0.2563821728154064,0.0826204720775683,0.3098960396375907,0.0901029414232783,0.7524963140279654,0.0091721768958401,0.2474626947302978,0.0742938320782467,0.1633879632106982,0.041593938247579,
smom,abalone-17_vs_7-8-9-10,-,keel,0.9623583886967184,0.0061513526291025,0.6391163975982572,0.0391288673976226,0.6528907496012759,0.0527132012323473,0.6381418724862306,0.0363502109082097,0.5572590474513326,0.0960854991442919,0.9028425704412546,0.0430802356507324,0.2846929650634314,0.0703898636922999,0.2723909105495105,0.0553447175460377,0.7621656929881795,0.0179311320212355,0.2771904317629323,0.0723412987634093,2.099427507992368,0.0628470126269548,
soup,abalone-17_vs_7-8-9-10,-,keel,0.9726276103149764,0.0039082288701434,0.6983110735251982,0.064642099381742,0.6160685805422647,0.0431158199614581,0.6426024553615838,0.0485658069126298,0.4787483701786635,0.0976016116992809,0.9235280435938332,0.0394823983457673,0.300352356974692,0.0972374524248111,0.3366689301652297,0.0510839391804689,0.7587419738495507,0.0101389682158217,0.2865318958473452,0.0964081404415979,15.358937581197823,0.6655385909443158,
mc_rbo,abalone-17_vs_7-8-9-10,-,keel,0.9709172935083,0.0051535370013425,0.6391888435999088,0.1149671981469302,0.5642344497607656,0.0425673020529593,0.5827890899452892,0.0567383619519314,0.3295235384967515,0.163649818499506,0.8727987107921319,0.0192217014452198,0.1851929953617758,0.1271368216255681,0.2915971951717412,0.0896885696906366,0.7492394751468348,0.0067812642280618,0.1687965618100411,0.1114636606256869,66.55853784640786,1.2012574300974064,
