Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std
SPE,ecoli1,-,keel,0.8676470588235294,0.0,0.8194968553459119,0.0,0.8052884615384616,0.0,0.8119815668202766,0.0,0.7966275068156915,0.0,0.9122596153846153,0.0,0.6246237377331407,0.0,0.8079091169193724,0.0,0.8191625832100593,0.0,0.624078624078624,0.0,0.3898965999833308,0.0
DeepSMOTE,ecoli1,-,keel,0.8235294117647058,0.0,0.7548076923076923,0.0,0.7548076923076923,0.0,0.7548076923076923,0.0,0.7435621126608156,0.0,0.8834134615384615,0.0,0.5096153846153846,0.0,0.7203932709447416,0.0,0.7716577292899408,0.0,0.5096153846153846,0.0,1.3569625999662094,0.0
DDPM,ecoli1,-,keel,0.8823529411764706,0.0,0.8365384615384616,0.0,0.8365384615384616,0.0,0.8365384615384616,0.0,0.8320502943378437,0.0,0.8786057692307693,0.0,0.6730769230769231,0.0,0.7794998893005859,0.0,0.8440273668639053,0.0,0.6730769230769231,0.0,4.466892099997494,0.0
DBCF,ecoli1,-,keel,0.8823529411764706,0.0,0.8311111111111111,0.0,0.8581730769230769,0.0,0.8431372549019607,0.0,0.8569568250501305,0.0,0.9459134615384615,0.0,0.6887527436463262,0.0,0.8371792151203916,0.0,0.8602591068786982,0.0,0.6866359447004609,0.0,18.757534000033047,0.0
DEAHS,ecoli1,-,keel,0.8529411764705882,0.0,0.79375,0.0,0.8389423076923077,0.0,0.8111111111111111,0.0,0.8385254915624212,0.0,0.9236778846153846,0.0,0.6310762327472502,0.0,0.7559733669108668,0.0,0.8396415033284024,0.0,0.6238938053097345,0.0,2.5344378000008874,0.0
s_smote,ecoli1,-,keel,0.8382352941176471,0.0,0.7749731471535983,0.0,0.8076923076923077,0.0,0.7884016973125885,0.0,0.805629233294362,0.0,0.905048076923077,0.0,0.5817460690064254,0.0,0.750765657953158,0.0,0.8110207100591715,0.0,0.5778781038374718,0.0,2.4103066999814473,0.0
scut,ecoli1,-,keel,0.8823529411764706,0.0,0.8311111111111111,0.0,0.8581730769230769,0.0,0.8431372549019607,0.0,0.8569568250501305,0.0,0.9104567307692307,0.0,0.6887527436463262,0.0,0.8055234711968458,0.0,0.8602591068786982,0.0,0.6866359447004609,0.0,0.12198039999930188,0.0
mdo,ecoli1,-,keel,0.8529411764705882,0.0,0.7956730769230769,0.0,0.7956730769230769,0.0,0.7956730769230769,0.0,0.7882856276561375,0.0,0.9170673076923077,0.0,0.5913461538461539,0.0,0.778119080566836,0.0,0.8073744914940828,0.0,0.5913461538461537,0.0,0.04338849999476224,0.0
smom,ecoli1,-,keel,0.8676470588235294,0.0,0.8137254901960784,0.0,0.8269230769230769,0.0,0.8199470432480142,0.0,0.8233374857156787,0.0,0.9399038461538461,0.0,0.6405126152203485,0.0,0.8157289501039502,0.0,0.8328402366863905,0.0,0.64,0.0,0.03538850002223626,0.0
soup,ecoli1,-,keel,0.8676470588235294,0.0,0.8120567375886525,0.0,0.8701923076923077,0.0,0.8329238329238329,0.0,0.8701790266729821,0.0,0.8768028846153846,0.0,0.6797676185841045,0.0,0.7131834990774619,0.0,0.8702154215976332,0.0,0.6681127982646421,0.0,0.03714719996787608,0.0
