Model,AUC_mean,AUPRC_mean,Accuracy_mean,F1_mean,GMean_mean,IBA_mean,Kappa_mean,MCC_mean,Precision_mean,Recall_mean,Runtime_mean,OverallAvgRank
orem_m,10.49,11.11,9.77,9.58,12.58,11.29,9.88,10.4,10.89,12.35,10.4,10.79
mc_ccr,11.57,10.18,7.57,10.82,16.25,12.7,11.1,11.03,8.87,15.3,6.37,11.07
nromm,10.46,10.61,8.87,10.09,14.28,12.48,10.43,10.85,9.8,13.93,14.46,11.48
smom,10.39,10.92,9.69,9.94,13.59,12.72,10.22,10.91,10.22,13.11,17.03,11.7
glos,11.98,12.49,11.5,11.62,13.15,11.92,12.02,12.44,12.7,12.68,7.17,11.79
mdo,11.27,10.74,9.22,11.68,15.53,12.56,11.87,12.2,11.38,14.59,10.27,11.94
soup,11.83,12.4,12.18,10.75,12.13,11.59,11.24,11.36,11.69,12.01,17.41,12.24
shsampler,11.97,13.83,18.03,13.93,9.43,10.72,14.02,13.87,16.91,9.39,5.59,12.52
mc_rbo,10.91,9.88,7.42,10.77,16.44,13.37,11.12,11.3,8.95,15.8,24.23,12.74
DBCF,9,9.36,11.32,10.52,13.69,13.29,10.77,11.4,11.5,13.42,26,12.75
oremboost,12.73,12.45,9.99,10.94,15.67,13.28,11.08,11.51,10.01,15.08,21.29,13.09
multirandbal,14.2,14.33,15.64,13.13,13.35,14.12,13.47,13.99,14.87,13.37,7.16,13.42
mc_nro,13.47,12.74,12.3,12.05,14.33,12.74,12.28,12.5,13.7,13.77,21.23,13.74
drcw_aseg,17.53,14.08,10.94,13.52,18.79,16.17,14.02,14.41,11.87,18.32,4.17,13.98
SPE,10.04,10.7,18.05,16.42,7.63,11.46,15.37,13.78,16.28,8.63,25.79,14.01
pt_bagging,17.53,15.37,10.67,14.72,20.09,16.9,15.09,15.3,12.11,19.58,1.93,14.48
DeepSMOTE,12.13,12.44,9.56,14.54,20.07,16.37,14.76,14.77,11.56,19.46,17.01,14.79
scut,12.22,13.89,17.22,14.31,11.71,13.99,14.39,14.48,16.22,12.2,22.2,14.8
DEAHS,9.49,10.58,20.17,18.04,7.16,10.54,16.77,15.17,18.82,7.69,28.69,14.83
mc_evhs,14.23,16.42,19.14,15.99,12.06,14.1,15.8,15.63,17.62,12.44,10.43,14.9
des_mi,18.03,19.07,17.42,14.65,13.33,14.87,14.94,15.07,16.1,13.66,6.92,14.91
evinci,15.04,14.55,11.95,13.36,17.31,14.45,13.64,13.85,13.42,16.82,23.92,15.3
dpse,23.29,21.14,15.1,14.77,18.03,17.7,14.96,15.54,14.26,18.09,2.6,15.95
s_smote,18.06,17.16,21.15,19.27,15.23,17.12,18.34,17.77,18.78,15.18,19.91,18
easy_bpnn,16.34,15.75,23.86,22.67,11.82,16.33,21.43,19.98,22.31,12.97,17.66,18.28
adaboost_ad,24.26,26.81,24.16,23.62,14.75,20.07,22.63,22.01,23.01,16.25,7.7,20.48
e_evrs,25.98,26.57,21.33,20.87,19.63,20.61,21.2,21.46,21.08,19.95,16.88,21.41
amcs,23.67,22.72,20.91,22.66,24.14,23.98,23.25,23.76,21.73,24.14,18.49,22.68
ocsv_us,24.14,24,27.5,27.31,20.5,25.26,26.47,25.86,25.99,22.5,21.67,24.65
