Dataset,Model,AUC_mean,AUPRC_mean,Accuracy_mean,F1_mean,GMean_mean,IBA_mean,Kappa_mean,MCC_mean,Precision_mean,Recall_mean,Runtime_mean
abalone-17_vs_7-8-9-10,DBCF,5.0,6.0,14.0,2.0,13.0,11.0,2.0,2.0,12.0,12.0,25.0
abalone-17_vs_7-8-9-10,DEAHS,6.0,9.0,26.0,26.0,2.0,1.0,26.0,18.0,26.0,2.0,28.0
abalone-17_vs_7-8-9-10,DeepSMOTE,18.0,16.0,4.0,24.0,29.0,27.0,25.0,27.0,11.0,29.0,19.0
abalone-17_vs_7-8-9-10,SPE,4.0,10.0,25.0,25.0,1.0,2.0,23.0,16.0,25.0,1.0,21.0
abalone-17_vs_7-8-9-10,adaboost_ad,23.0,29.0,27.0,27.0,3.0,3.0,27.0,23.0,27.0,3.0,12.0
abalone-17_vs_7-8-9-10,amcs,27.0,25.0,17.0,20.0,22.0,14.0,20.0,25.0,21.0,17.0,26.0
abalone-17_vs_7-8-9-10,des_mi,7.0,24.0,19.0,6.0,7.0,4.0,5.0,4.0,17.0,6.0,6.0
abalone-17_vs_7-8-9-10,dpse,26.0,23.0,13.0,3.0,14.0,12.0,3.0,7.0,8.0,14.0,1.0
abalone-17_vs_7-8-9-10,drcw_aseg,24.0,4.0,1.5,1.0,19.0,15.0,1.0,1.0,1.0,20.0,8.0
abalone-17_vs_7-8-9-10,e_evrs,28.0,28.0,23.0,21.0,12.0,22.0,22.0,24.0,23.0,11.0,16.0
abalone-17_vs_7-8-9-10,easy_bpnn,16.0,2.0,28.0,28.0,4.0,10.0,28.0,26.0,28.0,4.0,13.0
abalone-17_vs_7-8-9-10,evinci,20.0,5.0,3.0,9.0,23.0,19.0,10.0,5.0,2.0,24.0,22.0
abalone-17_vs_7-8-9-10,glos,14.0,22.0,16.0,19.0,16.0,24.0,19.0,22.0,19.0,18.0,3.0
abalone-17_vs_7-8-9-10,mc_ccr,15.0,3.0,5.0,14.0,25.0,21.0,14.0,14.0,4.0,25.0,4.0
abalone-17_vs_7-8-9-10,mc_evhs,22.0,26.0,22.0,17.0,6.0,9.0,15.0,12.0,22.0,7.0,11.0
abalone-17_vs_7-8-9-10,mc_nro,19.0,19.0,12.0,15.0,20.0,26.0,16.0,21.0,13.0,22.0,29.0
abalone-17_vs_7-8-9-10,mc_rbo,21.0,15.0,7.0,23.0,28.0,28.0,24.0,28.0,14.0,28.0,27.0
abalone-17_vs_7-8-9-10,mdo,10.0,12.0,10.0,16.0,24.0,25.0,17.0,20.0,10.0,26.0,9.0
abalone-17_vs_7-8-9-10,multirandbal,12.0,14.0,18.0,7.0,10.0,8.0,6.0,6.0,16.0,10.0,10.0
abalone-17_vs_7-8-9-10,nromm,17.0,18.0,8.0,18.0,26.0,23.0,18.0,19.0,9.0,27.0,15.0
abalone-17_vs_7-8-9-10,ocsv_us,29.0,27.0,29.0,29.0,11.0,29.0,29.0,29.0,29.0,13.0,17.0
abalone-17_vs_7-8-9-10,orem_m,11.0,13.0,11.0,8.0,17.0,18.0,8.0,11.0,7.0,19.0,7.0
abalone-17_vs_7-8-9-10,oremboost,2.0,1.0,9.0,5.0,18.0,13.0,7.0,9.0,6.0,16.0,20.0
abalone-17_vs_7-8-9-10,pt_bagging,25.0,7.0,1.5,4.0,27.0,16.0,4.0,3.0,3.0,23.0,5.0
abalone-17_vs_7-8-9-10,s_smote,9.0,21.0,24.0,22.0,5.0,6.0,21.0,17.0,24.0,5.0,18.0
abalone-17_vs_7-8-9-10,scut,13.0,20.0,20.0,12.0,9.0,5.0,12.0,10.0,20.0,9.0,24.0
abalone-17_vs_7-8-9-10,shsampler,3.0,11.0,21.0,10.0,8.0,7.0,9.0,8.0,18.0,8.0,2.0
abalone-17_vs_7-8-9-10,smom,8.0,17.0,15.0,13.0,15.0,17.0,13.0,15.0,15.0,15.0,14.0
abalone-17_vs_7-8-9-10,soup,1.0,8.0,6.0,11.0,21.0,20.0,11.0,13.0,5.0,21.0,23.0
abalone-19_vs_10-11-12-13,DBCF,2.0,9.0,15.0,13.0,18.0,16.0,18.0,19.0,13.0,20.0,26.0
abalone-19_vs_10-11-12-13,DEAHS,5.0,12.0,25.0,25.0,2.0,26.0,11.0,6.0,14.0,3.0,27.0
abalone-19_vs_10-11-12-13,DeepSMOTE,24.0,26.0,2.0,17.0,23.0,2.0,23.0,23.0,23.0,23.0,16.0
abalone-19_vs_10-11-12-13,SPE,7.0,10.0,28.0,27.0,3.0,24.0,13.0,4.0,15.0,2.0,23.0
