Model,AUC_mean,AUPRC_mean,Accuracy_mean,F1_mean,GMean_mean,IBA_mean,Kappa_mean,MCC_mean,Precision_mean,Recall_mean,Runtime_mean,TotalWins
SPE,35,36,17,17,24,23,17,17,17,26,0,229
nromm,28,27,24,22,18,18,23,23,23,18,0,224
mc_rbo,24,26,30,21,18,19,22,21,23,19,0,223
orem_m,27,24,23,23,17,17,23,22,20,17,0,213
pt_bagging,17,17,19,16,13,14,16,16,20,13,45,206
smom,23,24,24,22,17,17,22,19,18,17,0,203
dpse,16,16,14,14,14,14,14,14,14,14,57,201
soup,24,23,18,21,18,18,20,21,19,18,0,200
glos,25,24,17,19,18,19,19,19,18,18,1,197
DEAHS,22,24,10,14,30,23,14,14,10,29,0,190
mc_ccr,23,23,23,17,14,15,16,17,25,14,1,188
mdo,22,22,25,18,14,17,18,18,18,14,0,186
oremboost,23,22,21,17,15,16,17,17,21,16,0,185
drcw_aseg,18,20,18,17,14,14,17,17,18,14,0,167
DBCF,22,23,19,18,10,13,18,18,11,11,0,163
DeepSMOTE,27,27,19,11,11,11,11,11,20,11,0,159
mc_nro,19,22,16,15,13,14,15,15,14,14,0,157
multirandbal,19,18,13,14,15,17,14,14,13,15,0,152
des_mi,19,20,12,13,14,15,13,14,14,15,0,149
scut,22,22,13,12,14,14,12,12,12,15,0,148
evinci,16,16,17,14,12,15,14,16,15,12,0,147
shsampler,19,18,8,12,15,15,12,11,9,16,1,136
easy_bpnn,17,18,7,7,20,11,7,8,7,17,0,119
s_smote,16,14,11,10,10,11,10,11,10,11,0,114
mc_evhs,17,17,5,8,7,8,8,8,5,7,0,90
amcs,8,7,6,6,5,6,6,5,6,5,10,70
e_evrs,5,5,4,5,6,6,5,4,5,6,0,51
ocsv_us,10,10,2,2,2,2,2,2,2,2,0,36
adaboost_ad,4,4,3,3,4,3,3,4,3,3,0,34
